sceneName,platform,startTime,area_deg2,perimeter,centroid_lon,centroid_lat,is_valid,is_simple,geometry_wkt
S1C_IW_GRDH_1SDV_20251005T221550_20251005T221616_004432_008C7C_B761,Sentinel-1C,2025-10-05T22:15:50Z,3.886396,8.102933,-55.412023,-23.956943,True,True,"POLYGON ((-56.42231 -24.997627, -53.987457 -24.419895, -54.415112 -22.917265, -56.823963 -23.487335, -56.42231 -24.997627))"
S1C_IW_RAW__0SDV_20251005T221522_20251005T221554_004432_008C7C_FF8E,Sentinel-1C,2025-10-05T22:15:22Z,4.929971,8.953159,-54.99559,-25.727037,True,True,"POLYGON ((-56.4813 -24.974, -55.937 -26.9107, -53.4907 -26.4679, -54.0741 -24.5443, -56.4813 -24.974))"
S1C_IW_GRDH_1SDV_20251005T221525_20251005T221550_004432_008C7C_B393,Sentinel-1C,2025-10-05T22:15:25Z,3.910063,8.144995,-54.993448,-25.457952,True,True,"POLYGON ((-56.015648 -26.497343, -53.551113 -25.911274, -53.985718 -24.419561, -56.422283 -24.997715, -56.015648 -26.497343))"
S1C_IW_GRDH_1SDV_20251005T221456_20251005T221525_004432_008C7C_9790,Sentinel-1C,2025-10-05T22:14:56Z,4.647554,8.751515,-54.529055,-27.081555,True,True,"POLYGON ((-55.527596 -28.252747, -53.025547 -27.656494, -53.549358 -25.910933, -56.015625 -26.497431, -55.527596 -28.252747))"
S1A_S2_RAW__0SDH_20251005T213527_20251005T213552_061296_07A591_16AE,Sentinel-1A,2025-10-05T21:35:27Z,1.121353,4.59057,-51.476798,4.146157,True,True,"POLYGON ((-51.9904 4.8733, -51.6641 3.3195, -50.9637 3.4189, -51.2887 4.9721, -51.9904 4.8733))"
S1C_IW_SLC__1SDV_20251005T213136_20251005T213208_004432_008C78_E43C,Sentinel-1C,2025-10-05T21:31:36Z,4.435678,8.449071,123.55178,6.842234,True,True,"POLYGON ((124.861778 7.571372, 122.62989 8.024049, 122.24472 6.114963, 124.467606 5.656929, 124.861778 7.571372))"
