sceneName,platform,startTime,area_deg2,perimeter,centroid_lon,centroid_lat,is_valid,is_simple,geometry_wkt
S1C_IW_RAW__0SDV_20251006T040003_20251006T040021_004436_008C99_AB01,Sentinel-1C,2025-10-06T04:00:03Z,2.731005,7.264215,29.794006,30.609558,True,True,"POLYGON ((28.623 31.2678, 28.4179 30.2181, 30.9493 29.9495, 31.1826 30.9993, 28.623 31.2678))"
S1C_IW_RAW__0SDV_20251006T035938_20251006T040011_004436_008C99_B9E6,Sentinel-1C,2025-10-06T03:59:38Z,5.149698,9.177852,30.016375,31.668385,True,True,"POLYGON ((28.9194 32.7777, 28.5356 30.8208, 31.083 30.5523, 31.5221 32.5093, 28.9194 32.7777))"
S1C_IW_RAW__0SDV_20251006T035938_20251006T040011_004436_008C99_B9E6,Sentinel-1C,2025-10-06T03:59:38Z,5.149698,9.177852,30.016375,31.668385,True,True,"POLYGON ((28.9194 32.7777, 28.5356 30.8208, 31.083 30.5523, 31.5221 32.5093, 28.9194 32.7777))"
S1C_IW_OCN__2SDV_20251006T035942_20251006T040007_004436_008C99_CCAC,Sentinel-1C,2025-10-06T03:59:42Z,4.192802,8.536919,29.872664,31.932092,True,True,"POLYGON ((31.391426 32.477295, 28.670773 32.888206, 28.372625 31.384542, 31.048824 30.971226, 31.391426 32.477295))"
S1C_IW_OCN__2SDV_20251006T035942_20251006T040007_004436_008C99_CCAC,Sentinel-1C,2025-10-06T03:59:42Z,4.192802,8.536919,29.872664,31.932092,True,True,"POLYGON ((31.391426 32.477295, 28.670773 32.888206, 28.372625 31.384542, 31.048824 30.971226, 31.391426 32.477295))"
S1C_IW_GRDH_1SDV_20251006T035942_20251006T040007_004436_008C99_F8C3,Sentinel-1C,2025-10-06T03:59:42Z,4.192483,8.536502,29.872767,31.932078,True,True,"POLYGON ((31.391426 32.477295, 28.670984 32.88818, 28.372831 31.384514, 31.048824 30.971226, 31.391426 32.477295))"
S1C_IW_RAW__0SDV_20251006T035913_20251006T035946_004436_008C99_CABE,Sentinel-1C,2025-10-06T03:59:13Z,5.236153,9.266829,30.335657,33.178344,True,True,"POLYGON ((29.2176 34.2873, 28.8315 32.3308, 31.4211 32.0624, 31.8668 34.0186, 29.2176 34.2873))"
S1C_IW_OCN__2SDV_20251006T035917_20251006T035942_004436_008C99_5A0B,Sentinel-1C,2025-10-06T03:59:17Z,4.262427,8.629432,30.194573,33.436876,True,True,"POLYGON ((31.73945 33.98267, 28.970123 34.391479, 28.669949 32.888416, 31.391447 32.477386, 31.73945 33.98267))"
S1C_IW_GRDH_1SDV_20251006T035917_20251006T035942_004436_008C99_2B0D,Sentinel-1C,2025-10-06T03:59:17Z,4.262263,8.629218,30.194626,33.436869,True,True,"POLYGON ((31.73945 33.98267, 28.970232 34.391464, 28.670053 32.888401, 31.391447 32.477386, 31.73945 33.98267))"
S1C_IW_GRDH_1SDV_20251006T035917_20251006T035942_004436_008C99_2B0D,Sentinel-1C,2025-10-06T03:59:17Z,4.262263,8.629218,30.194626,33.436869,True,True,"POLYGON ((31.73945 33.98267, 28.970232 34.391464, 28.670053 32.888401, 31.391447 32.477386, 31.73945 33.98267))"
