sceneName,platform,startTime,area_deg2,perimeter,centroid_lon,centroid_lat,is_valid,is_simple,geometry_wkt
S1C_IW_RAW__0SDV_20251005T221522_20251005T221554_004432_008C7C_FF8E,Sentinel-1C,2025-10-05T22:15:22Z,4.929971,8.953159,-54.99559,-25.727037,True,True,"POLYGON ((-56.4813 -24.974, -55.937 -26.9107, -53.4907 -26.4679, -54.0741 -24.5443, -56.4813 -24.974))"
S1C_IW_RAW__0SDV_20251005T221522_20251005T221554_004432_008C7C_FF8E,Sentinel-1C,2025-10-05T22:15:22Z,4.929971,8.953159,-54.99559,-25.727037,True,True,"POLYGON ((-56.4813 -24.974, -55.937 -26.9107, -53.4907 -26.4679, -54.0741 -24.5443, -56.4813 -24.974))"
S1C_IW_GRDH_1SDV_20251005T221525_20251005T221550_004432_008C7C_B393,Sentinel-1C,2025-10-05T22:15:25Z,3.910063,8.144995,-54.993448,-25.457952,True,True,"POLYGON ((-56.015648 -26.497343, -53.551113 -25.911274, -53.985718 -24.419561, -56.422283 -24.997715, -56.015648 -26.497343))"
S1A_S2_RAW__0SDH_20251005T213527_20251005T213552_061296_07A591_16AE,Sentinel-1A,2025-10-05T21:35:27Z,1.121353,4.59057,-51.476798,4.146157,True,True,"POLYGON ((-51.9904 4.8733, -51.6641 3.3195, -50.9637 3.4189, -51.2887 4.9721, -51.9904 4.8733))"
S1A_S2_RAW__0SDH_20251005T213527_20251005T213552_061296_07A591_16AE,Sentinel-1A,2025-10-05T21:35:27Z,1.121353,4.59057,-51.476798,4.146157,True,True,"POLYGON ((-51.9904 4.8733, -51.6641 3.3195, -50.9637 3.4189, -51.2887 4.9721, -51.9904 4.8733))"
S1C_IW_GRDH_1SDV_20251005T213137_20251005T213208_004432_008C78_0B6E,Sentinel-1C,2025-10-05T21:31:37Z,4.254416,8.290143,123.541514,6.803835,True,True,"POLYGON ((124.838005 7.494407, 122.60482 7.9476, 122.248085 6.114983, 124.472008 5.656723, 124.838005 7.494407))"
S1C_IW_RAW__0SDV_20251005T213134_20251005T213207_004432_008C78_820D,Sentinel-1C,2025-10-05T21:31:34Z,4.568629,8.565015,123.670273,6.62381,True,True,"POLYGON ((122.7765 7.7828, 122.3651 5.7629, 124.5582 5.4614, 124.9787 7.486, 122.7765 7.7828))"
S1C_IW_RAW__0SDV_20251005T213134_20251005T213207_004432_008C78_820D,Sentinel-1C,2025-10-05T21:31:34Z,4.568629,8.565015,123.670273,6.62381,True,True,"POLYGON ((122.7765 7.7828, 122.3651 5.7629, 124.5582 5.4614, 124.9787 7.486, 122.7765 7.7828))"
S1C_IW_RAW__0SDV_20251005T213109_20251005T213141_004432_008C78_9093,Sentinel-1C,2025-10-05T21:31:09Z,4.438473,8.449013,123.986813,8.167163,True,True,"POLYGON ((123.0809 9.2927, 122.686 7.336, 124.8858 7.0381, 125.2918 8.9992, 123.0809 9.2927))"
S1C_IW_RAW__0SDV_20251005T213109_20251005T213141_004432_008C78_9093,Sentinel-1C,2025-10-05T21:31:09Z,4.438473,8.449013,123.986813,8.167163,True,True,"POLYGON ((123.0809 9.2927, 122.686 7.336, 124.8858 7.0381, 125.2918 8.9992, 123.0809 9.2927))"
